FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.0031446540880503146,0.7423693
0.0,0.10062893081761007,0.74216706
0.0,0.1069182389937107,0.7421662
0.0,0.18553459119496854,0.7421231
0.0,0.1918238993710692,0.7421218
0.0,0.20440251572327045,0.74211544
0.0,0.21069182389937108,0.74211526
0.0,0.5566037735849056,0.7419259
0.0,0.5628930817610063,0.7419241
0.0,0.6855345911949685,0.7418642
0.0,0.6918238993710691,0.741864
0.0,0.9245283018867925,0.74164206
0.0030303030303030303,0.9245283018867925,0.7416345
0.0030303030303030303,0.949685534591195,0.74155235
0.006060606060606061,0.949685534591195,0.74152553
0.006060606060606061,1.0,0.73512346
0.09090909090909091,1.0,0.49944854
0.09696969696969697,1.0,0.4994483
0.14545454545454545,1.0,0.49943417
0.15151515151515152,1.0,0.49943322
0.16666666666666666,1.0,0.49942875
0.17272727272727273,1.0,0.49942797
0.21515151515151515,1.0,0.49941757
0.22121212121212122,1.0,0.4994175
0.3424242424242424,1.0,0.49940026
0.3484848484848485,1.0,0.49939895
0.3787878787878788,1.0,0.49939588
0.38484848484848483,1.0,0.49939552
0.509090909090909,1.0,0.49937475
0.5151515151515151,1.0,0.49937457
0.5303030303030303,1.0,0.49937207
0.5363636363636364,1.0,0.49937174
0.5606060606060606,1.0,0.49937
0.5666666666666667,1.0,0.49936995
0.5757575757575758,1.0,0.49936888
0.5818181818181818,1.0,0.49936852
0.6121212121212121,1.0,0.4993644
0.6181818181818182,1.0,0.499364
0.6303030303030303,1.0,0.49936292
0.6363636363636364,1.0,0.49936256
0.7151515151515152,1.0,0.49934855
0.7272727272727273,1.0,0.49934807
0.7515151515151515,1.0,0.49934497
0.7606060606060606,1.0,0.49934474
0.7787878787878788,1.0,0.49934068
0.7848484848484848,1.0,0.49933997
0.793939393939394,1.0,0.49933726
0.8,1.0,0.49933517
1.0,1.0,0.4991911
