FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.0031446540880503146,0.7422815
0.0,0.29559748427672955,0.74147797
0.0,0.3018867924528302,0.741472
0.0,0.8647798742138365,0.74073267
0.0030303030303030303,0.8647798742138365,0.74072987
0.0030303030303030303,0.940251572327044,0.7405682
0.006060606060606061,0.940251572327044,0.74056673
0.006060606060606061,0.9654088050314465,0.74050397
0.00909090909090909,0.9654088050314465,0.74050355
0.00909090909090909,0.9685534591194969,0.7404816
0.012121212121212121,0.9685534591194969,0.74047583
0.012121212121212121,0.9716981132075472,0.74041426
0.015151515151515152,0.9716981132075472,0.7403263
0.015151515151515152,0.9905660377358491,0.7398714
0.01818181818181818,0.9905660377358491,0.7398277
0.01818181818181818,0.9937106918238994,0.7398141
0.021212121212121213,0.9937106918238994,0.7396771
0.021212121212121213,1.0,0.7388635
0.28484848484848485,1.0,0.49989954
0.2909090909090909,1.0,0.49989894
0.3,1.0,0.49989393
0.30606060606060603,1.0,0.4998938
0.44545454545454544,1.0,0.4998689
0.45151515151515154,1.0,0.49986795
0.5212121212121212,1.0,0.49985698
0.5272727272727272,1.0,0.4998559
0.6151515151515151,1.0,0.49984127
0.6212121212121212,1.0,0.49984032
0.6363636363636364,1.0,0.49983865
0.6424242424242425,1.0,0.49983853
0.6787878787878788,1.0,0.49983448
0.6848484848484848,1.0,0.49983376
0.706060606060606,1.0,0.49983013
0.7121212121212122,1.0,0.4998297
0.7151515151515152,1.0,0.499829
0.7212121212121212,1.0,0.49982876
0.7272727272727273,1.0,0.4998284
0.7333333333333333,1.0,0.49982822
0.7848484848484848,1.0,0.49981487
0.7909090909090909,1.0,0.4998145
0.8242424242424242,1.0,0.49980956
0.8303030303030303,1.0,0.49980944
0.9333333333333333,1.0,0.49977204
0.9393939393939394,1.0,0.499771
1.0,1.0,0.4996886
